2025-05-13 04:04:35 - 解压前大小: 0.09 MB, 解压后大小: 0.31 MB, 编码时间: 26.10ms (room_0.1)
2025-05-13 04:11:43 - 解压前大小: 0.62 MB, 解压后大小: 2.42 MB, 编码时间: 214.18ms (man1)
2025-05-13 04:12:41 - 解压前大小: 0.66 MB, 解压后大小: 2.86 MB, 解码时间: 225.23ms (man2)
2025-05-13 04:13:59 - 解压前大小: 0.64 MB, 解压后大小: 2.57 MB, 解码时间: 221.28ms (woman1)
2025-05-13 04:16:21 - 文件:woman1_decode.ply解压前大小: 0.64 MB, 解压后大小: 2.57 MB, 解码时间: 299.91ms
2025-05-13 04:16:38 - 文件:woman1_decode.ply,解压前大小: 0.64 MB, 解压后大小: 2.57 MB, 解码时间: 294.30ms
2025-05-13 04:16:59 - 文件:woman1_decode.ply,解压前大小: 0.64 MB, 解压后大小: 2.57 MB, 解码时间: 372.79ms
2025-05-13 04:17:04 - 文件:woman1_decode.ply,解压前大小: 0.64 MB, 解压后大小: 2.57 MB, 解码时间: 526.76ms
2025-05-13 04:17:07 - 文件:woman1_decode.ply,解压前大小: 0.64 MB, 解压后大小: 2.57 MB, 解码时间: 302.68ms
2025-05-13 04:17:13 - 文件:woman1_decode.ply,解压前大小: 0.64 MB, 解压后大小: 2.57 MB, 解码时间: 710.00ms
2025-05-13 04:17:17 - 文件:woman1_decode.ply,解压前大小: 0.64 MB, 解压后大小: 2.57 MB, 解码时间: 251.92ms
2025-05-13 04:17:38 - 文件:woman1_decode.ply,解压前大小: 0.64 MB, 解压后大小: 2.57 MB, 解码时间: 289.77ms
2025-05-13 04:17:44 - 文件:woman1_decode.ply,解压前大小: 0.64 MB, 解压后大小: 2.57 MB, 解码时间: 507.73ms
2025-05-13 10:19:09 - 文件:ori_pc_0.05_decode.ply,解压前大小: 0.27 MB, 解压后大小: 1.08 MB, 解码时间: 98.89ms (room_0.05)
2025-05-13 17:39:13 - 文件:ori_pc_0.05_decode.fbx,解压前大小: 0.27 MB, 解压后大小: 1.08 MB, 解码时间: 95.70 ms
