2025-05-13 03:10:20 - 文件: ori_pc_0.05.ply, 输出: output_ori_pc_0.05.drc, 编码时间: 338.40 ms
2025-05-13 03:10:41 - 文件: ori_pc_0.05.ply, 输出: output_ori_pc_0.04.drc, 编码时间: 335.68 ms
2025-05-13 03:11:56 - 文件: ori_pc_0.05.ply, 输出: output_ori_pc_0.04.drc, 编码时间: 338.14 ms
2025-05-13 03:12:06 - 文件: ori_pc_0.05.ply, 输出: output_ori_pc_0.04.drc, 编码时间: 284.72 ms
2025-05-13 03:12:10 - 文件: ori_pc_0.05.ply, 输出: output_ori_pc_0.04.drc, 编码时间: 280.90 ms
2025-05-13 03:12:16 - 文件: ori_pc_0.05.ply, 输出: output_ori_pc_0.04.drc, 编码时间: 338.63 ms
2025-05-13 03:18:29 - 文件: ori_pc_0.05.ply, 点数: 42003, 原始大小: 1.56 MB, 压缩后: 0.27 MB, 编码时间: 335.14ms
2025-05-13 03:18:57 - 文件: ori_pc_0.05.ply, 点数: 42003, 原始大小: 1.56 MB, 压缩后: 0.27 MB, 编码时间: 338.45ms
2025-05-13 03:20:03 - 文件: ori_pc_0.1.ply, 点数: 12148, 原始大小: 0.45 MB, 压缩后: 0.09 MB, 编码时间: 95.52ms
2025-05-13 04:11:17 - 文件: man1.ply, 点数: 627028, 原始大小: 16.74 MB, 压缩后: 0.62 MB, 编码时间: 307.02ms
2025-05-13 04:12:36 - 文件: man2.ply, 点数: 654846, 原始大小: 19.57 MB, 压缩后: 0.66 MB, 编码时间: 1287.78ms
2025-05-13 04:13:10 - 文件: man2.ply, 点数: 654846, 原始大小: 19.57 MB, 压缩后: 0.66 MB, 编码时间: 2184.72ms
2025-05-13 04:13:17 - 文件: man2.ply, 点数: 654846, 原始大小: 19.57 MB, 压缩后: 0.66 MB, 编码时间: 1575.77ms
2025-05-13 04:13:34 - 文件: woman1.ply, 点数: 638694, 原始大小: 17.06 MB, 压缩后: 0.64 MB, 编码时间: 392.84ms
2025-05-13 04:57:50 - 文件: woman1.ply, 点数: 638694, 原始大小: 17.06 MB, 压缩后: 0.64 MB, 编码时间: 395.25ms
2025-05-13 05:00:02 - 文件: woman1.ply, 点数: 638694, 原始大小: 17.06 MB, 压缩后: 0.64 MB, 编码时间: 331.96ms
2025-05-13 05:00:15 - 文件: woman1.ply, 点数: 638694, 原始大小: 17.06 MB, 压缩后: 0.64 MB, 编码时间: 329.95ms
2025-05-13 05:00:28 - 文件: woman1.ply, 点数: 638694, 原始大小: 17.06 MB, 压缩后: 0.64 MB, 编码时间: 388.16ms
2025-05-13 05:00:56 - 文件: woman1.ply, 点数: 638694, 原始大小: 17.06 MB, 压缩后: 0.64 MB, 编码时间: 397.73ms
2025-05-13 05:10:36 - 文件: woman1.ply, 点数: 638694, 原始大小: 17.06 MB, 压缩后: 0.64 MB, 编码时间: 393.95ms
2025-05-13 05:10:45 - 文件: woman1.ply, 点数: 638694, 原始大小: 17.06 MB, 压缩后: 0.64 MB, 编码时间: 395.75ms
2025-05-13 05:14:47 - 文件: woman1.ply, 点数: 638694, 原始大小: 17.06 MB, 压缩后: 0.64 MB, 编码时间: 349.86ms
2025-05-13 05:14:55 - 文件: woman1.ply, 点数: 638694, 原始大小: 17.06 MB, 压缩后: 0.64 MB, 编码时间: 398.99ms
2025-05-13 05:15:55 - 文件: woman1.ply, 点数: 638694, 原始大小: 17.06 MB, 压缩后: 0.64 MB, 编码时间: 387.14ms
